category	hue
1	20
3	40
3C.2a1b.2a.2a.3a.1	60
3C.2a2	50
6	120
6B	130
6B.1	140
6B.1A	150
6B.1A.1	160
6B.1A.2	170
6B.1A.3	180
6B.1A.4	190
6B.1A.5	200
6B.1A.5a	210
6B.1A.5a.1	220
6B.1A.5a.2	230
6B.1A.5a.2a	240
6B.1A.5a.2a.1	250
6B.1A.5b	200
6B.1A.6	180
6B.1A.7	170
6B.2	140
6C	110
7	70
8	80
Anas flavirostris	90
Anas platyrhynchos	100
Argentina	0
Australia	180
Bahrain	200
Belgium	210
Bhutan	210
Botswana	100
Brazil	10
Bulgaria	220
Cambodia	220
Camelus dromedarius	280
Cameroon	110
Canada	50
Chile	20
China	230
Colombia	30
Czech Republic	230
Denmark	240
Egypt	170
Espirito Santo	0
Estado do Parana	10
France	250
Germany	260
Guatemala	80
Homo sapiens	220
Hong Kong	240
Hungary	270
India	250
Iran	260
Iraq	270
Israel	280
Italy	280
Japan	290
Kazakhstan	300
Kenya	120
Kuwait	310
Malaysia	320
Mato Grosso	20
Meleagris gallopavo	120
Mexico	70
Minas Gerais	30
Mustela lutreola	300
Nepal	330
Nicaragua	90
Nigeria	130
Pakistan	340
Panthera tigris	320
Peru	40
Philippines	350
Poland	290
Qatar	300
Russia	300
Santa Catarina	40
Saudi Arabia	310
Senegal	140
Serbia	310
Singapore	320
South Africa	150
South Korea	330
Spain	320
Spatula discors	110
State of Palestine	340
Sus scrofa	30
Sus scrofa domesticus	40
Sus scrofa scrofa	50
Taiwan	350
Thailand	300
Tunisia	160
Turkey	130
Turkey	310
USA	60
United Kingdom	330
Viet Nam	320
swine	60
ncbi	30
itps	90